Lu177 - 2.4mm - Bone compact			
i	j	k	S [mGy/(MBq·s)]
0	0	0	7.91E-01
0	0	1	1.24E-02
0	0	2	8.75E-05
0	0	3	3.92E-05
0	0	4	2.21E-05
0	0	5	1.44E-05
0	1	0	1.24E-02
0	1	1	4.81E-04
0	1	2	7.02E-05
0	1	3	3.52E-05
0	1	4	2.08E-05
0	1	5	1.38E-05
0	2	0	8.75E-05
0	2	1	7.02E-05
0	2	2	4.39E-05
0	2	3	2.72E-05
0	2	4	1.78E-05
0	2	5	1.23E-05
0	3	0	3.92E-05
0	3	1	3.52E-05
0	3	2	2.72E-05
0	3	3	1.97E-05
0	3	4	1.43E-05
0	3	5	1.06E-05
0	4	0	2.21E-05
0	4	1	2.08E-05
0	4	2	1.78E-05
0	4	3	1.43E-05
0	4	4	1.13E-05
0	4	5	8.81E-06
0	5	0	1.44E-05
0	5	1	1.38E-05
0	5	2	1.23E-05
0	5	3	1.06E-05
0	5	4	8.81E-06
0	5	5	7.20E-06
1	0	0	1.24E-02
1	0	1	4.81E-04
1	0	2	7.02E-05
1	0	3	3.52E-05
1	0	4	2.08E-05
1	0	5	1.38E-05
1	1	0	4.81E-04
1	1	1	1.29E-04
1	1	2	5.85E-05
1	1	3	3.20E-05
1	1	4	1.97E-05
1	1	5	1.32E-05
1	2	0	7.02E-05
1	2	1	5.85E-05
1	2	2	3.91E-05
1	2	3	2.53E-05
1	2	4	1.70E-05
1	2	5	1.19E-05
1	3	0	3.52E-05
1	3	1	3.20E-05
1	3	2	2.53E-05
1	3	3	1.87E-05
1	3	4	1.38E-05
1	3	5	1.03E-05
1	4	0	2.08E-05
1	4	1	1.97E-05
1	4	2	1.70E-05
1	4	3	1.38E-05
1	4	4	1.09E-05
1	4	5	8.58E-06
1	5	0	1.38E-05
1	5	1	1.32E-05
1	5	2	1.19E-05
1	5	3	1.03E-05
1	5	4	8.58E-06
1	5	5	7.07E-06
2	0	0	8.75E-05
2	0	1	7.02E-05
2	0	2	4.39E-05
2	0	3	2.72E-05
2	0	4	1.78E-05
2	0	5	1.23E-05
2	1	0	7.02E-05
2	1	1	5.85E-05
2	1	2	3.91E-05
2	1	3	2.53E-05
2	1	4	1.70E-05
2	1	5	1.19E-05
2	2	0	4.39E-05
2	2	1	3.91E-05
2	2	2	2.94E-05
2	2	3	2.09E-05
2	2	4	1.49E-05
2	2	5	1.09E-05
2	3	0	2.72E-05
2	3	1	2.53E-05
2	3	2	2.09E-05
2	3	3	1.62E-05
2	3	4	1.24E-05
2	3	5	9.48E-06
2	4	0	1.78E-05
2	4	1	1.70E-05
2	4	2	1.49E-05
2	4	3	1.24E-05
2	4	4	1.00E-05
2	4	5	8.01E-06
2	5	0	1.23E-05
2	5	1	1.19E-05
2	5	2	1.09E-05
2	5	3	9.48E-06
2	5	4	8.01E-06
2	5	5	6.69E-06
3	0	0	3.92E-05
3	0	1	3.52E-05
3	0	2	2.72E-05
3	0	3	1.97E-05
3	0	4	1.43E-05
3	0	5	1.06E-05
3	1	0	3.52E-05
3	1	1	3.20E-05
3	1	2	2.53E-05
3	1	3	1.87E-05
3	1	4	1.38E-05
3	1	5	1.03E-05
3	2	0	2.72E-05
3	2	1	2.53E-05
3	2	2	2.09E-05
3	2	3	1.62E-05
3	2	4	1.24E-05
3	2	5	9.48E-06
3	3	0	1.97E-05
3	3	1	1.87E-05
3	3	2	1.62E-05
3	3	3	1.32E-05
3	3	4	1.06E-05
3	3	5	8.39E-06
3	4	0	1.43E-05
3	4	1	1.38E-05
3	4	2	1.24E-05
3	4	3	1.06E-05
3	4	4	8.77E-06
3	4	5	7.21E-06
3	5	0	1.06E-05
3	5	1	1.03E-05
3	5	2	9.48E-06
3	5	3	8.39E-06
3	5	4	7.21E-06
3	5	5	6.12E-06
4	0	0	2.21E-05
4	0	1	2.08E-05
4	0	2	1.78E-05
4	0	3	1.43E-05
4	0	4	1.13E-05
4	0	5	8.81E-06
4	1	0	2.08E-05
4	1	1	1.97E-05
4	1	2	1.70E-05
4	1	3	1.38E-05
4	1	4	1.09E-05
4	1	5	8.58E-06
4	2	0	1.78E-05
4	2	1	1.70E-05
4	2	2	1.49E-05
4	2	3	1.24E-05
4	2	4	1.00E-05
4	2	5	8.01E-06
4	3	0	1.43E-05
4	3	1	1.38E-05
4	3	2	1.24E-05
4	3	3	1.06E-05
4	3	4	8.77E-06
4	3	5	7.21E-06
4	4	0	1.13E-05
4	4	1	1.09E-05
4	4	2	1.00E-05
4	4	3	8.77E-06
4	4	4	7.48E-06
4	4	5	6.33E-06
4	5	0	8.81E-06
4	5	1	8.58E-06
4	5	2	8.01E-06
4	5	3	7.21E-06
4	5	4	6.33E-06
4	5	5	5.46E-06
5	0	0	1.44E-05
5	0	1	1.38E-05
5	0	2	1.23E-05
5	0	3	1.06E-05
5	0	4	8.81E-06
5	0	5	7.20E-06
5	1	0	1.38E-05
5	1	1	1.32E-05
5	1	2	1.19E-05
5	1	3	1.03E-05
5	1	4	8.58E-06
5	1	5	7.07E-06
5	2	0	1.23E-05
5	2	1	1.19E-05
5	2	2	1.09E-05
5	2	3	9.48E-06
5	2	4	8.01E-06
5	2	5	6.69E-06
5	3	0	1.06E-05
5	3	1	1.03E-05
5	3	2	9.48E-06
5	3	3	8.39E-06
5	3	4	7.21E-06
5	3	5	6.12E-06
5	4	0	8.81E-06
5	4	1	8.58E-06
5	4	2	8.01E-06
5	4	3	7.21E-06
5	4	4	6.33E-06
5	4	5	5.46E-06
5	5	0	7.20E-06
5	5	1	7.07E-06
5	5	2	6.69E-06
5	5	3	6.12E-06
5	5	4	5.46E-06
5	5	5	4.78E-06
