Sm153 - 4mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	2.86E-01
0	0	1	5.77E-03
0	0	2	1.55E-04
0	0	3	5.92E-05
0	0	4	2.86E-05
0	0	5	1.59E-05
0	1	0	5.77E-03
0	1	1	4.91E-04
0	1	2	1.20E-04
0	1	3	5.21E-05
0	1	4	2.66E-05
0	1	5	1.52E-05
0	2	0	1.55E-04
0	2	1	1.20E-04
0	2	2	6.86E-05
0	2	3	3.75E-05
0	2	4	2.15E-05
0	2	5	1.31E-05
0	3	0	5.92E-05
0	3	1	5.21E-05
0	3	2	3.75E-05
0	3	3	2.47E-05
0	3	4	1.60E-05
0	3	5	1.05E-05
0	4	0	2.86E-05
0	4	1	2.66E-05
0	4	2	2.15E-05
0	4	3	1.60E-05
0	4	4	1.14E-05
0	4	5	8.05E-06
0	5	0	1.59E-05
0	5	1	1.52E-05
0	5	2	1.31E-05
0	5	3	1.05E-05
0	5	4	8.05E-06
0	5	5	6.06E-06
1	0	0	5.77E-03
1	0	1	4.91E-04
1	0	2	1.20E-04
1	0	3	5.21E-05
1	0	4	2.66E-05
1	0	5	1.52E-05
1	1	0	4.91E-04
1	1	1	2.26E-04
1	1	2	9.70E-05
1	1	3	4.63E-05
1	1	4	2.47E-05
1	1	5	1.44E-05
1	2	0	1.20E-04
1	2	1	9.70E-05
1	2	2	5.94E-05
1	2	3	3.42E-05
1	2	4	2.02E-05
1	2	5	1.25E-05
1	3	0	5.21E-05
1	3	1	4.63E-05
1	3	2	3.42E-05
1	3	3	2.30E-05
1	3	4	1.51E-05
1	3	5	1.01E-05
1	4	0	2.66E-05
1	4	1	2.47E-05
1	4	2	2.02E-05
1	4	3	1.51E-05
1	4	4	1.09E-05
1	4	5	7.80E-06
1	5	0	1.52E-05
1	5	1	1.44E-05
1	5	2	1.25E-05
1	5	3	1.01E-05
1	5	4	7.80E-06
1	5	5	5.90E-06
2	0	0	1.55E-04
2	0	1	1.20E-04
2	0	2	6.86E-05
2	0	3	3.75E-05
2	0	4	2.15E-05
2	0	5	1.31E-05
2	1	0	1.20E-04
2	1	1	9.70E-05
2	1	2	5.94E-05
2	1	3	3.42E-05
2	1	4	2.02E-05
2	1	5	1.25E-05
2	2	0	6.86E-05
2	2	1	5.94E-05
2	2	2	4.16E-05
2	2	3	2.66E-05
2	2	4	1.69E-05
2	2	5	1.09E-05
2	3	0	3.75E-05
2	3	1	3.42E-05
2	3	2	2.66E-05
2	3	3	1.90E-05
2	3	4	1.31E-05
2	3	5	8.99E-06
2	4	0	2.15E-05
2	4	1	2.02E-05
2	4	2	1.69E-05
2	4	3	1.31E-05
2	4	4	9.69E-06
2	4	5	7.09E-06
2	5	0	1.31E-05
2	5	1	1.25E-05
2	5	2	1.09E-05
2	5	3	8.99E-06
2	5	4	7.09E-06
2	5	5	5.44E-06
3	0	0	5.92E-05
3	0	1	5.21E-05
3	0	2	3.75E-05
3	0	3	2.47E-05
3	0	4	1.60E-05
3	0	5	1.05E-05
3	1	0	5.21E-05
3	1	1	4.63E-05
3	1	2	3.42E-05
3	1	3	2.30E-05
3	1	4	1.51E-05
3	1	5	1.01E-05
3	2	0	3.75E-05
3	2	1	3.42E-05
3	2	2	2.66E-05
3	2	3	1.90E-05
3	2	4	1.31E-05
3	2	5	8.99E-06
3	3	0	2.47E-05
3	3	1	2.30E-05
3	3	2	1.90E-05
3	3	3	1.45E-05
3	3	4	1.05E-05
3	3	5	7.54E-06
3	4	0	1.60E-05
3	4	1	1.51E-05
3	4	2	1.31E-05
3	4	3	1.05E-05
3	4	4	8.04E-06
3	4	5	6.08E-06
3	5	0	1.05E-05
3	5	1	1.01E-05
3	5	2	8.99E-06
3	5	3	7.54E-06
3	5	4	6.08E-06
3	5	5	4.78E-06
4	0	0	2.86E-05
4	0	1	2.66E-05
4	0	2	2.15E-05
4	0	3	1.60E-05
4	0	4	1.14E-05
4	0	5	8.05E-06
4	1	0	2.66E-05
