Re188 - 3.59mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	1.06E+00
0	0	1	1.47E-01
0	0	2	3.58E-03
0	0	3	3.31E-05
0	0	4	1.20E-05
0	0	5	7.69E-06
0	1	0	1.47E-01
0	1	1	3.75E-02
0	1	2	1.38E-03
0	1	3	2.31E-05
0	1	4	1.13E-05
0	1	5	7.35E-06
0	2	0	3.58E-03
0	2	1	1.38E-03
0	2	2	8.42E-05
0	2	3	1.49E-05
0	2	4	9.60E-06
0	2	5	6.59E-06
0	3	0	3.31E-05
0	3	1	2.31E-05
0	3	2	1.49E-05
0	3	3	1.07E-05
0	3	4	7.66E-06
0	3	5	5.63E-06
0	4	0	1.20E-05
0	4	1	1.13E-05
0	4	2	9.60E-06
0	4	3	7.66E-06
0	4	4	6.02E-06
0	4	5	4.70E-06
0	5	0	7.69E-06
0	5	1	7.35E-06
0	5	2	6.59E-06
0	5	3	5.63E-06
0	5	4	4.70E-06
0	5	5	3.86E-06
1	0	0	1.47E-01
1	0	1	3.75E-02
1	0	2	1.38E-03
1	0	3	2.31E-05
1	0	4	1.13E-05
1	0	5	7.35E-06
1	1	0	3.75E-02
1	1	1	1.21E-02
1	1	2	5.42E-04
1	1	3	1.87E-05
1	1	4	1.07E-05
1	1	5	7.09E-06
1	2	0	1.38E-03
1	2	1	5.42E-04
1	2	2	4.29E-05
1	2	3	1.38E-05
1	2	4	9.13E-06
1	2	5	6.40E-06
1	3	0	2.31E-05
1	3	1	1.87E-05
1	3	2	1.38E-05
1	3	3	1.01E-05
1	3	4	7.36E-06
1	3	5	5.50E-06
1	4	0	1.13E-05
1	4	1	1.07E-05
1	4	2	9.13E-06
1	4	3	7.36E-06
1	4	4	5.83E-06
1	4	5	4.58E-06
1	5	0	7.35E-06
1	5	1	7.09E-06
1	5	2	6.40E-06
1	5	3	5.50E-06
1	5	4	4.58E-06
1	5	5	3.78E-06
2	0	0	3.58E-03
2	0	1	1.38E-03
2	0	2	8.42E-05
2	0	3	1.49E-05
2	0	4	9.60E-06
2	0	5	6.59E-06
2	1	0	1.38E-03
2	1	1	5.42E-04
2	1	2	4.29E-05
2	1	3	1.38E-05
2	1	4	9.13E-06
2	1	5	6.40E-06
2	2	0	8.42E-05
2	2	1	4.29E-05
2	2	2	1.67E-05
2	2	3	1.13E-05
2	2	4	7.97E-06
2	2	5	5.83E-06
2	3	0	1.49E-05
2	3	1	1.38E-05
2	3	2	1.13E-05
2	3	3	8.73E-06
2	3	4	6.62E-06
2	3	5	5.07E-06
