Y90 - 4.8mm - Soft tissue			
i	j	k	S [mGy/(MBq·s)]
0	0	0	5.73E-01
0	0	1	7.63E-02
0	0	2	1.11E-03
0	0	3	1.40E-06
0	0	4	6.51E-07
0	0	5	3.89E-07
0	1	0	7.63E-02
0	1	1	1.78E-02
0	1	2	3.44E-04
0	1	3	1.15E-06
0	1	4	6.04E-07
0	1	5	3.72E-07
0	2	0	1.11E-03
0	2	1	3.44E-04
0	2	2	6.61E-06
0	2	3	8.27E-07
0	2	4	5.01E-07
0	2	5	3.29E-07
0	3	0	1.40E-06
0	3	1	1.15E-06
0	3	2	8.27E-07
0	3	3	5.66E-07
0	3	4	3.88E-07
0	3	5	2.76E-07
0	4	0	6.51E-07
0	4	1	6.04E-07
0	4	2	5.01E-07
0	4	3	3.88E-07
0	4	4	2.94E-07
0	4	5	2.23E-07
0	5	0	3.89E-07
0	5	1	3.72E-07
0	5	2	3.29E-07
0	5	3	2.76E-07
0	5	4	2.23E-07
0	5	5	1.79E-07
1	0	0	7.63E-02
1	0	1	1.78E-02
1	0	2	3.44E-04
1	0	3	1.15E-06
1	0	4	6.04E-07
1	0	5	3.72E-07
1	1	0	1.78E-02
1	1	1	5.07E-03
1	1	2	1.04E-04
1	1	3	1.01E-06
1	1	4	5.65E-07
1	1	5	3.56E-07
1	2	0	3.44E-04
1	2	1	1.04E-04
1	2	2	2.58E-06
1	2	3	7.59E-07
1	2	4	4.75E-07
1	2	5	3.17E-07
1	3	0	1.15E-06
1	3	1	1.01E-06
1	3	2	7.59E-07
1	3	3	5.31E-07
1	3	4	3.72E-07
1	3	5	2.66E-07
1	4	0	6.04E-07
1	4	1	5.65E-07
1	4	2	4.75E-07
1	4	3	3.72E-07
1	4	4	2.84E-07
1	4	5	2.17E-07
1	5	0	3.72E-07
1	5	1	3.56E-07
1	5	2	3.17E-07
1	5	3	2.66E-07
1	5	4	2.17E-07
1	5	5	1.75E-07
2	0	0	1.11E-03
2	0	1	3.44E-04
2	0	2	6.61E-06
2	0	3	8.27E-07
2	0	4	5.01E-07
2	0	5	3.29E-07
2	1	0	3.44E-04
2	1	1	1.04E-04
2	1	2	2.58E-06
2	1	3	7.59E-07
2	1	4	4.75E-07
2	1	5	3.17E-07
2	2	0	6.61E-06
2	2	1	2.58E-06
2	2	2	9.16E-07
2	2	3	6.05E-07
2	2	4	4.06E-07
2	2	5	2.86E-07
2	3	0	8.27E-07
2	3	1	7.59E-07
2	3	2	6.05E-07
2	3	3	4.50E-07
2	3	4	3.28E-07
2	3	5	2.43E-07
2	4	0	5.01E-07
2	4	1	4.75E-07
2	4	2	4.06E-07
2	4	3	3.28E-07
2	4	4	2.58E-07
2	4	5	2.02E-07
2	5	0	3.29E-07
2	5	1	3.17E-07
2	5	2	2.86E-07
2	5	3	2.43E-07
2	5	4	2.02E-07
2	5	5	1.65E-07
3	0	0	1.40E-06
3	0	1	1.15E-06
3	0	2	8.27E-07
3	0	3	5.66E-07
3	0	4	3.88E-07
3	0	5	2.76E-07
3	1	0	1.15E-06
3	1	1	1.01E-06
3	1	2	7.59E-07
3	1	3	5.31E-07
3	1	4	3.72E-07
3	1	5	2.66E-07
3	2	0	8.27E-07
3	2	1	7.59E-07
3	2	2	6.05E-07
3	2	3	4.50E-07
3	2	4	3.28E-07
3	2	5	2.43E-07
3	3	0	5.66E-07
3	3	1	5.31E-07
3	3	2	4.50E-07
3	3	3	3.54E-07
3	3	4	2.74E-07
3	3	5	2.12E-07
3	4	0	3.88E-07
3	4	1	3.72E-07
3	4	2	3.28E-07
3	4	3	2.74E-07
3	4	4	2.23E-07
3	4	5	1.79E-07
3	5	0	2.76E-07
3	5	1	2.66E-07
3	5	2	2.43E-07
