Re186 - 9.28mm - Bone compact			
i	j	k	S [mGy/(MBqús)]
0	0	0	3.28E-02
0	0	1	4.53E-04
0	0	2	4.95E-06
0	0	3	2.02E-06
0	0	4	1.02E-06
0	0	5	5.80E-07
0	1	0	4.53E-04
0	1	1	1.88E-05
0	1	2	3.90E-06
0	1	3	1.79E-06
0	1	4	9.50E-07
0	1	5	5.50E-07
0	2	0	4.95E-06
0	2	1	3.90E-06
0	2	2	2.32E-06
0	2	3	1.32E-06
0	2	4	7.73E-07
0	2	5	4.76E-07
0	3	0	2.02E-06
0	3	1	1.79E-06
0	3	2	1.32E-06
0	3	3	8.83E-07
0	3	4	5.79E-07
0	3	5	3.83E-07
0	4	0	1.02E-06
0	4	1	9.50E-07
0	4	2	7.73E-07
0	4	3	5.79E-07
0	4	4	4.15E-07
0	4	5	2.93E-07
0	5	0	5.80E-07
0	5	1	5.50E-07
0	5	2	4.76E-07
0	5	3	3.83E-07
0	5	4	2.93E-07
0	5	5	2.19E-07
1	0	0	4.53E-04
1	0	1	1.88E-05
1	0	2	3.90E-06
1	0	3	1.79E-06
1	0	4	9.50E-07
1	0	5	5.50E-07
1	1	0	1.88E-05
1	1	1	7.06E-06
1	1	2	3.20E-06
1	1	3	1.60E-06
1	1	4	8.84E-07
1	1	5	5.23E-07
1	2	0	3.90E-06
1	2	1	3.20E-06
1	2	2	2.03E-06
1	2	3	1.20E-06
1	2	4	7.28E-07
1	2	5	4.54E-07
1	3	0	1.79E-06
1	3	1	1.60E-06
1	3	2	1.20E-06
1	3	3	8.26E-07
1	3	4	5.51E-07
1	3	5	3.66E-07
1	4	0	9.50E-07
1	4	1	8.84E-07
1	4	2	7.28E-07
1	4	3	5.51E-07
1	4	4	3.98E-07
1	4	5	2.83E-07
1	5	0	5.50E-07
1	5	1	5.23E-07
1	5	2	4.54E-07
1	5	3	3.66E-07
1	5	4	2.83E-07
1	5	5	2.12E-07
2	0	0	4.95E-06
2	0	1	3.90E-06
2	0	2	2.32E-06
2	0	3	1.32E-06
2	0	4	7.73E-07
2	0	5	4.76E-07
2	1	0	3.90E-06
2	1	1	3.20E-06
2	1	2	2.03E-06
2	1	3	1.20E-06
2	1	4	7.28E-07
2	1	5	4.54E-07
2	2	0	2.32E-06
2	2	1	2.03E-06
2	2	2	1.45E-06
2	2	3	9.50E-07
2	2	4	6.10E-07
2	2	5	3.98E-07
2	3	0	1.32E-06
2	3	1	1.20E-06
2	3	2	9.50E-07
2	3	3	6.85E-07
2	3	4	4.75E-07
2	3	5	3.26E-07
2	4	0	7.73E-07
2	4	1	7.28E-07
2	4	2	6.10E-07
2	4	3	4.75E-07
2	4	4	3.53E-07
2	4	5	2.55E-07
2	5	0	4.76E-07
2	5	1	4.54E-07
